,facility_detail_info,facility_available_name
379,기울기 1/18~1/12이하,주출입구 접근로_도봉산갈비
380,보/차도 구분없음,주출입구 접근로_도봉산갈비
381,총주차대수8,장애인 전용 주차구역_도봉산갈비
382,상세정보 없음,주출입구 높이차이 제거_도봉산갈비
383,상세정보 없음,장애인 전용 주차구역_돈촌삼겹살
384,상세정보 없음,주출입구 접근로_동구밖 장작구이(단군의땅)
385,총주차대수16,장애인 전용 주차구역_동구밖 장작구이(단군의땅)
386,평탄함,주출입구 접근로_동굴과 화로구이(뉴명성)
387,단차없음,주출입구 접근로_동굴과 화로구이(뉴명성)
388,유효폭 1.2m 이상,주출입구 접근로_동굴과 화로구이(뉴명성)
389,기울기 1/18이하,주출입구 접근로_동굴과 화로구이(뉴명성)
390,보/차도 구분없음,주출입구 접근로_동굴과 화로구이(뉴명성)
391,총주차대수30,장애인 전용 주차구역_동굴과 화로구이(뉴명성)
392,전용주차대수  2,장애인 전용 주차구역_동굴과 화로구이(뉴명성)
393,출입구와 가까운 곳에 설치,장애인 전용 주차구역_동굴과 화로구이(뉴명성)
394,크기 확보(3.3*5m),장애인 전용 주차구역_동굴과 화로구이(뉴명성)
395,안내표지판 설치,장애인 전용 주차구역_동굴과 화로구이(뉴명성)
396,경사로 1/12초과 설치,주출입구 높이차이 제거_동굴과 화로구이(뉴명성)
397,유효폭 1.2m 이상,주출입구 높이차이 제거_동굴과 화로구이(뉴명성)
398,손잡이 설치,주출입구 높이차이 제거_동굴과 화로구이(뉴명성)
399,평탄함,주출입구 접근로_둘레길주막미담
400,단차없음,주출입구 접근로_둘레길주막미담
401,유효폭 1.2m 이상,주출입구 접근로_둘레길주막미담
402,기울기 1/18이하,주출입구 접근로_둘레길주막미담
403,보/차도 구분,주출입구 접근로_둘레길주막미담
404,총주차대수2,장애인 전용 주차구역_둘레길주막미담
405,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_둘레길주막미담
406,유효폭 1.2m 이상,주출입구 높이차이 제거_둘레길주막미담
407,손잡이 설치,주출입구 높이차이 제거_둘레길주막미담
408,평탄함,주출입구 접근로_뚝심
409,단차없음,주출입구 접근로_뚝심
410,유효폭 1.2m 이상,주출입구 접근로_뚝심
411,기울기 1/18이하,주출입구 접근로_뚝심
412,보/차도 구분,주출입구 접근로_뚝심
413,총주차대수4,장애인 전용 주차구역_뚝심
414,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_뚝심
415,유효폭 1.2m 이상,주출입구 높이차이 제거_뚝심
416,손잡이 설치,주출입구 높이차이 제거_뚝심
417,총주차대수20,장애인 전용 주차구역_마루갈비
418,평탄함,주출입구 접근로_만가화로구이
419,단차없음,주출입구 접근로_만가화로구이
420,유효폭 1.2m 이상,주출입구 접근로_만가화로구이
421,기울기 1/18이하,주출입구 접근로_만가화로구이
422,보/차도 구분없음,주출입구 접근로_만가화로구이
